ItemKind	ItemName	Location_Row	Location_Column	Required	InputMode	MaxLength	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	TabStop	TabIndex	ForeColor	Visible	Alignment	CharacterCasing	FullLength	Square	JumpStop
T	本人確認書類_氏名	1	1		N	50		T								T	1							
T	本人確認書類_NAME	1	1		X	60		T								T	2							
T	本人確認書類_生年月日	1	1		X	8	yyyymmddで入力\n不明文字記入・文字数オーバーの場合は入力値をブランクとする	T							^\d	T	3						T	
T	本人確認書類_国籍	1	1		X	4		T							^\d	T	4						T	
T	本人確認書類_国籍（その他）	1	1		N	20	『本人確認書類_国籍』が「9999」の場合、記載内容を見たままで入力	T								T	5							
T	本人確認書類_在留資格	1	1		X	3		T							^\d	T	6						T	
T	本人確認書類_在留期間の記載の有無	1	1		X	1	1：本人確認書類が提出されており、在留期限の記載あり\n　→在留期限が不明文字記入・文字数オーバーの場合も記載ありとみなす\n2：本人確認書類が提出されており、在留期限の記載なし	T	^(|1|2)$						^\d	T	7							
T	本人確認書類_在留期間	1	1		X	8	yyyymmddで入力\n不明文字記入・文字数オーバーの場合は入力値をブランクとする	T							^\d	T	8						T	
T	本人確認書類_有効期限	1	1		X	8	yyyymmddで入力\n不明文字記入・文字数オーバーの場合は入力値をブランクとする	T							^\d	T	9						T	
T	本人確認書類_就労制限	1	1		X	1	1：表面に『就労制限なし』と印字\n2：表面に『在留資格に基づく就労活動のみ可』『指定書により指定された就労活動のみ可』と印字\n3：裏面に許可の記載\n4：表裏共に記載なし\n	T	^(|1|2|3|4)$						^\d	T	10							
T	本人確認書類_発行番号	1	1		X	12		T								T	11						T	
T	本人確認書類_交付年月日	1	1		X	8	yyyymmddで入力\n不明文字記入・文字数オーバーの場合は入力値をブランクとする	T							^\d	T	12						T	
