TabIndex	ItemKind	ItemName	MaxLength	Required	InputMode	DefaultIMEMode	Tips	Enabled	ValidPattern	Text	Height	Width	GroupBox	ControlName	Regex	MultiLine	ForeColor	TabStop	Visible	Input2	IsPostCd	Address1	Address2	Address3	AddressKana1	AddressKana2	AddressKana3	IsAgencyCd	HandlerCd	AgencyName	Handler_Last_Name	Handler_First_Name	Alignment	TextAddMode	Square	ValidPattern_org
1	T	帳票番号	5	T	X			T	^(|61921)$						^[0-9]+$																					^(|61921)$
2	T	分担・整理票 NO.	3		AH			T																												
3	T	証券番号  主番	10		AH			T																												
4	T	証券番号  枝番	3		X			T							\d																					
5	T	当整理票の種類  共保	1		AH			T																												^(|1)$
6	T	当整理票の種類  代分	1		AH			T																												^(|2)$
7	T	当整理票の種類  特殊	1		AH			T																												^(|3)$
8	T	当整理票の種類  補正	1		AH			T																												^(|4)$
9	T	種目種類	4		AH			T																												
10	T	払込方法（1）	2		AH			T																												^(|10)$
11	T	払込方法（2）	2		AH			T																												^(|63)$
12	T	払込方法（3）	2		AH			T																												^(|62)$
13	T	払込方法（4）	2		AH			T																												^(|61)$
14	T	払込方法（5）	2		AH			T																												^(|60)$
15	T	払込方法（6）	2		AH			T																												^(|46)$
16	T	払込方法（7）	2		AH			T																												^(|75)$
17	T	払込方法（8）	2		AH			T																												^(|42)$
18	T	払込方法（9）	2		AH			T																												^(|30)$
19	T	共同保険精算方法（1）	1		AH			T																												^(|1)$
20	T	共同保険精算方法（2）	1		AH			T																												^(|2)$
21	T	代理店分担精算方法（1）	1		AH			T																												^(|1)$
22	T	代理店分担精算方法（2）	1		AH			T																												^(|2)$
23	T	1 会社コ―ド	3		AH			T																												
24	T	1 分担割合(共保)	9		X			T							^[0-9\.]+$																		R			
25	T	1 代理店コ―ド	5		AH			T																												
26	T	1 代理店サブコ―ド	3		AH			T																												
27	T	1 分担割合(代分)	9		X			T							^[0-9\.]+$																		R			
28	T	1 代理店自己物件（4）	1		AH			T																												^(|4)$
29	T	1 代理店自己物件（5）	1		AH			T																												^(|5)$
30	T	1 代理店手数料	9		X			T							^[0-9\.]+$																		R			
31	T	2 会社コ―ド	3		AH			T																												
